,,symbol address,word address,RA,UCA,LCA,PAGE,mod 8
548,137,0x224,0x89,0,34,2,17,1
552,138,0x228,0x8A,0,34,4,17,2
556,139,0x22C,0x8B,0,34,6,17,3
560,140,0x230,0x8C,0,35,0,17,4
564,141,0x234,0x8D,0,35,2,17,5
568,142,0x238,0x8E,0,35,4,17,6
572,143,0x23C,0x8F,0,35,6,17,7
576,144,0x240,0x90,0,36,0,18,0
580,145,0x244,0x91,0,36,2,18,1
584,146,0x248,0x92,0,36,4,18,2
588,147,0x24C,0x93,0,36,6,18,3
592,148,0x250,0x94,0,37,0,18,4
596,149,0x254,0x95,0,37,2,18,5
600,150,0x258,0x96,0,37,4,18,6
604,151,0x25C,0x97,0,37,6,18,7
608,152,0x260,0x98,0,38,0,19,0
612,153,0x264,0x99,0,38,2,19,1
616,154,0x268,0x9A,0,38,4,19,2
620,155,0x26C,0x9B,0,38,6,19,3
624,156,0x270,0x9C,0,39,0,19,4
628,157,0x274,0x9D,0,39,2,19,5
632,158,0x278,0x9E,0,39,4,19,6
636,159,0x27C,0x9F,0,39,6,19,7
640,160,0x280,0xA0,0,40,0,20,0
644,161,0x284,0xA1,0,40,2,20,1
648,162,0x288,0xA2,0,40,4,20,2
652,163,0x28C,0xA3,0,40,6,20,3
656,164,0x290,0xA4,0,41,0,20,4
660,165,0x294,0xA5,0,41,2,20,5
664,166,0x298,0xA6,0,41,4,20,6
668,167,0x29C,0xA7,0,41,6,20,7
672,168,0x2A0,0xA8,0,42,0,21,0
676,169,0x2A4,0xA9,0,42,2,21,1
680,170,0x2A8,0xAA,0,42,4,21,2
684,171,0x2AC,0xAB,0,42,6,21,3
688,172,0x2B0,0xAC,0,43,0,21,4
692,173,0x2B4,0xAD,0,43,2,21,5
696,174,0x2B8,0xAE,0,43,4,21,6
700,175,0x2BC,0xAF,0,43,6,21,7
704,176,0x2C0,0xB0,0,44,0,22,0
708,177,0x2C4,0xB1,0,44,2,22,1
712,178,0x2C8,0xB2,0,44,4,22,2
716,179,0x2CC,0xB3,0,44,6,22,3
720,180,0x2D0,0xB4,0,45,0,22,4
724,181,0x2D4,0xB5,0,45,2,22,5
728,182,0x2D8,0xB6,0,45,4,22,6
732,183,0x2DC,0xB7,0,45,6,22,7
736,184,0x2E0,0xB8,0,46,0,23,0
740,185,0x2E4,0xB9,0,46,2,23,1
744,186,0x2E8,0xBA,0,46,4,23,2
748,187,0x2EC,0xBB,0,46,6,23,3
752,188,0x2F0,0xBC,0,47,0,23,4
756,189,0x2F4,0xBD,0,47,2,23,5
760,190,0x2F8,0xBE,0,47,4,23,6
764,191,0x2FC,0xBF,0,47,6,23,7
768,192,0x300,0xC0,0,48,0,24,0
772,193,0x304,0xC1,0,48,2,24,1
776,194,0x308,0xC2,0,48,4,24,2
780,195,0x30C,0xC3,0,48,6,24,3
784,196,0x310,0xC4,0,49,0,24,4
788,197,0x314,0xC5,0,49,2,24,5
792,198,0x318,0xC6,0,49,4,24,6
796,199,0x31C,0xC7,0,49,6,24,7
800,200,0x320,0xC8,0,50,0,25,0
804,201,0x324,0xC9,0,50,2,25,1
808,202,0x328,0xCA,0,50,4,25,2
812,203,0x32C,0xCB,0,50,6,25,3
816,204,0x330,0xCC,0,51,0,25,4
820,205,0x334,0xCD,0,51,2,25,5
824,206,0x338,0xCE,0,51,4,25,6
828,207,0x33C,0xCF,0,51,6,25,7
832,208,0x340,0xD0,0,52,0,26,0
836,209,0x344,0xD1,0,52,2,26,1
840,210,0x348,0xD2,0,52,4,26,2
844,211,0x34C,0xD3,0,52,6,26,3
848,212,0x350,0xD4,0,53,0,26,4
852,213,0x354,0xD5,0,53,2,26,5
856,214,0x358,0xD6,0,53,4,26,6
860,215,0x35C,0xD7,0,53,6,26,7
864,216,0x360,0xD8,0,54,0,27,0
868,217,0x364,0xD9,0,54,2,27,1
872,218,0x368,0xDA,0,54,4,27,2
876,219,0x36C,0xDB,0,54,6,27,3
880,220,0x370,0xDC,0,55,0,27,4
884,221,0x374,0xDD,0,55,2,27,5
888,222,0x378,0xDE,0,55,4,27,6
892,223,0x37C,0xDF,0,55,6,27,7
896,224,0x380,0xE0,0,56,0,28,0
900,225,0x384,0xE1,0,56,2,28,1
904,226,0x388,0xE2,0,56,4,28,2
908,227,0x38C,0xE3,0,56,6,28,3
912,228,0x390,0xE4,0,57,0,28,4
916,229,0x394,0xE5,0,57,2,28,5
920,230,0x398,0xE6,0,57,4,28,6
924,231,0x39C,0xE7,0,57,6,28,7
928,232,0x3A0,0xE8,0,58,0,29,0
932,233,0x3A4,0xE9,0,58,2,29,1
936,234,0x3A8,0xEA,0,58,4,29,2
940,235,0x3AC,0xEB,0,58,6,29,3
944,236,0x3B0,0xEC,0,59,0,29,4
948,237,0x3B4,0xED,0,59,2,29,5
952,238,0x3B8,0xEE,0,59,4,29,6
956,239,0x3BC,0xEF,0,59,6,29,7
960,240,0x3C0,0xF0,0,60,0,30,0
964,241,0x3C4,0xF1,0,60,2,30,1
968,242,0x3C8,0xF2,0,60,4,30,2
972,243,0x3CC,0xF3,0,60,6,30,3
976,244,0x3D0,0xF4,0,61,0,30,4
980,245,0x3D4,0xF5,0,61,2,30,5
984,246,0x3D8,0xF6,0,61,4,30,6
988,247,0x3DC,0xF7,0,61,6,30,7
992,248,0x3E0,0xF8,0,62,0,31,0
996,249,0x3E4,0xF9,0,62,2,31,1
1000,250,0x3E8,0xFA,0,62,4,31,2
1004,251,0x3EC,0xFB,0,62,6,31,3
1008,252,0x3F0,0xFC,0,63,0,31,4
1012,253,0x3F4,0xFD,0,63,2,31,5
1016,254,0x3F8,0xFE,0,63,4,31,6
1020,255,0x3FC,0xFF,0,63,6,31,7
…,,,,,,,,
4194290,,,,,,,,
